"=""1o. Agrupamento""";"=""2o. Agrupamento""";"=""3o. Agrupamento""";"=""4o. Agrupamento""";"=""5o. Agrupamento""";"=""Chave ¹   Ch Criação ²""";"=""Emissão""";"=""Dias Entrega""";"=""Classe""";"=""Estabelecimento""";"=""Loc Escrit""";"=""Recurso""";"=""Observação""";"=""Núcleo""";"=""Qde Ped""";"=""Unitário""";"=""Desc Venda""";"=""% Venda""";"=""Desc Item""";"=""% Item""";"=""Total""";"=""Qde Atend""";"=""Qde Canc""";"=""Qde Pend""";"=""Baixa""";"=""Movimentação""";"=""DP""";"=""Tipo""";"=""Número""";"=""Qde Baixa""";"=""Op. Vinculada"""
"=""EXT""";"=""EX""";"=""LEECO STEEL - Leeco Steel""";"=""MP Chapas Bobinas""";"=""01/08/2024""";"=""88760968 ¹  88760948 ²  """;"=""30/03/2024""";"-49";"=""C de Prod Imp Industrializ""";"=""Cemag""";"=""Matriz""";"=""120136IMP - BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300 IMP""";"=""~ 05 bobinas""";"=""Almox Central""";"59990";"3,9087";"0";"0";"0";"0";"234488,91";"0";"0";"59990";;;;;;;
"=""EXT""";"=""EX""";"=""LEECO STEEL - Leeco Steel""";"=""MP Chapas Bobinas""";"=""01/08/2024""";"=""88760970 ¹  88760948 ²  """;"=""30/03/2024""";"-49";"=""C de Prod Imp Industrializ""";"=""Cemag""";"=""Matriz""";"=""120547IMP - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300 IMP""";"=""~ 08 bobinas""";"=""Almox Central""";"85960";"3,9087";"0";"0";"0";"0";"336000,46";"0";"0";"85960";;;;;;;
"=""EXT""";"=""EX""";"=""LEECO STEEL - Leeco Steel""";"=""MP Chapas Bobinas""";"=""01/08/2024""";"=""88760964 ¹  88760948 ²  """;"=""30/03/2024""";"-49";"=""C de Prod Imp Industrializ""";"=""Cemag""";"=""Matriz""";"=""120278IMP - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300 IMP""";"=""~ 08 bobinas""";"=""Almox Central""";"81860";"3,9087";"0";"0";"0";"0";"319974,37";"0";"0";"81860";;;;;;;
"=""EXT""";"=""EX""";"=""LEECO STEEL - Leeco Steel""";"=""MP Chapas Bobinas""";"=""01/08/2024""";"=""88760965 ¹  88760948 ²  """;"=""30/03/2024""";"-49";"=""C de Prod Imp Industrializ""";"=""Cemag""";"=""Matriz""";"=""120305IMP - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300 IMP""";"=""~ 09 bobinas""";"=""Almox Central""";"101520";"3,9087";"0";"0";"0";"0";"396821,37";"0";"0";"101520";;;;;;;
"=""EXT""";"=""EX""";"=""LEECO STEEL - Leeco Steel""";"=""MP Chapas Bobinas""";"=""01/08/2024""";"=""88760966 ¹  88760948 ²  """;"=""30/03/2024""";"-49";"=""C de Prod Imp Industrializ""";"=""Cemag""";"=""Matriz""";"=""120201IMP - BOBINA CHAPA LQ 6.00 X 1200 SAE1010""";"=""~ 09 bobinas""";"=""Almox Central""";"81930";"3,9087";"0";"0";"0";"0";"320247,98";"0";"0";"81930";;;;;;;
"=""EXT""";"=""EX""";"=""LEECO STEEL - Leeco Steel""";"=""MP Chapas Bobinas""";"=""01/08/2024""";"=""88760969 ¹  88760948 ²  """;"=""30/03/2024""";"-49";"=""C de Prod Imp Industrializ""";"=""Cemag""";"=""Matriz""";"=""120549IMP - BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300 IMP""";"=""~ 05 bobinas""";"=""Almox Central""";"59800";"3,9087";"0";"0";"0";"0";"233746,24";"0";"0";"59800";;;;;;;
"=""EXT""";"=""EX""";"=""LEECO STEEL - Leeco Steel""";"=""MP Chapas Bobinas""";"=""01/08/2024""";"=""88760967 ¹  88760948 ²  """;"=""30/03/2024""";"-49";"=""C de Prod Imp Industrializ""";"=""Cemag""";"=""Matriz""";"=""120134IMP - BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300 IMP""";"=""~ 10 bobinas""";"=""Almox Central""";"100030";"3,9087";"0";"0";"0";"0";"390997,26";"0";"0";"100030";;;;;;;
"=""NDE""";"=""BA""";"=""CSN - BA. - Companhia Siderúrgica Nacional""";"=""MP Chapas Grossas SAE 1008 e 10 e 20""";"=""10/09/2024""";"=""91368839 ¹  91368836 ²  """;"=""14/08/2024""";"-9";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""120352 - CHAPA GQ   1/2 (12,7)     1010""";"=""CIVIL300 - 12.7x1200x4000""";"=""Almox Central""";"1000";"6,66";"0";"0";"0";"0";"6876,45";"0";"0";"1000";;;;;;;
"=""NDE""";"=""BA""";"=""CSN - BA. - Companhia Siderúrgica Nacional""";"=""MP Chapas Grossas SAE 1008 e 10 e 20""";"=""16/09/2024""";"=""91850559 ¹  91850558 ²  """;"=""03/09/2024""";"-3";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""120352 - CHAPA GQ   1/2 (12,7)     1010""";"=""CIVIL300 - 12.7x1200x4000""";"=""Almox Central""";"1000";"6,66";"0";"0";"0";"0";"6876,45";"0";"0";"1000";;;;;;;
"=""NDE""";"=""CE""";"=""ABREU GRAFICA - Edilson Abreu de Paula""";"=""MUC Expediente""";"=""20/09/2024""";"=""92118006 ¹  92118005 ²  """;"=""12/09/2024""";"1";"=""C p Consumo""";"=""Cemag""";"=""Matriz""";"=""720087 - BANNER INFORMAÇÃO ISO 9001""";"=""BANNER SOLICITADO PELA MANUTENÇÃO IMPRESSÃO DIGITAL, LONA 440G, 4X0COR ACABAMENTO E CANALETA, DIMENSÃO 0,80 x 1,80 m.""";"=""CC Manutenção""";"1";"105";"0";"0";"0";"0";"105";"0";"0";"1";;;;;;;
"=""NDE""";"=""CE""";"=""AURORENSE TINTAS - AURORENSE TINTAS LTDA.""";"=""MM Mecânica Diversos""";"=""18/09/2024""";"=""92249532 ¹  92249531 ²  """;"=""17/09/2024""";"-1";"=""C p Consumo""";"=""Cemag""";"=""Matriz""";"=""504620 - SPRAY TINTA""";"=""TINTA SPRAY ROSA MUNDIAL""";"=""Almox Central""";"5";"19,9";"9,5";"9,55";"0";"0";"90";"0";"0";"5";;;;;;;
"=""NDE""";"=""CE""";"=""BR HIDRAULICA - Br Hidraulica Eireli""";"=""MPC Diversos Outros""";"=""18/09/2024""";"=""92144229 ¹  92144220 ²  """;"=""13/09/2024""";"-1";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""240442 - MANG R2 - 3/8"""" X 1200 - TERM. RETO/90 FEMEA JIC 3/4""""""";;"=""Almox Central""";"5";"93";"0";"0";"0";"0";"465";"0";"0";"5";;;;;;;
"=""NDE""";"=""CE""";"=""BR HIDRAULICA - Br Hidraulica Eireli""";"=""MPC Diversos Outros""";"=""20/09/2024""";"=""92250319 ¹  92250318 ²  """;"=""19/09/2024""";"1";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""240273 - UNIAO MACHO JIC 3/4 X 3/4 BSP""";;"=""Almox Central""";"50";"41,92";"0";"0";"0";"0";"2096";"0";"0";"50";;;;;;;
"=""NDE""";"=""CE""";"=""BR HIDRAULICA - Br Hidraulica Eireli""";"=""MPC Diversos Outros""";"=""20/09/2024""";"=""92250321 ¹  92250318 ²  """;"=""19/09/2024""";"1";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""240446 - MANG R2 - 3/8"""" X 1700 JIC 3/4"""" RETO/RETO""";;"=""Almox Central""";"1";"79,57";"0";"0";"0";"0";"79,57";"0";"0";"1";;;;;;;
"=""NDE""";"=""CE""";"=""BR HIDRAULICA - Br Hidraulica Eireli""";"=""MPC Especiais Ferrs p Carrs Macacos Mangueiras""";"=""18/09/2024""";"=""92144223 ¹  92144220 ²  """;"=""13/09/2024""";"-1";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""240252 - MANG. A/P 3/8""""x 800MM TERM. RETO/RETO JIC 3/4""""""";;"=""Almox Central""";"5";"50,69";"0";"0";"0";"0";"253,45";"0";"0";"5";;;;;;;
"=""NDE""";"=""CE""";"=""BR HIDRAULICA - Br Hidraulica Eireli""";"=""MPC Especiais Ferrs p Carrs Macacos Mangueiras""";"=""18/09/2024""";"=""92144234 ¹  92144220 ²  """;"=""13/09/2024""";"-1";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""240248 - MANG. A/P 3/8""""x 700MM TERM. RETO/90º JIC 3/4""""""";;"=""Almox Central""";"5";"76,12";"0";"0";"0";"0";"380,6";"0";"0";"5";;;;;;;
"=""NDE""";"=""CE""";"=""BR HIDRAULICA - Br Hidraulica Eireli""";"=""MPC Especiais Ferrs p Carrs Macacos Mangueiras""";"=""20/09/2024""";"=""92250320 ¹  92250318 ²  """;"=""19/09/2024""";"1";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""240276 - MANG. A/P 5/8"""" X 900MM TERM. RETO/RETO JIC 7/8""""""";;"=""Almox Central""";"3";"72,45";"0";"0";"0";"0";"217,35";"0";"0";"3";;;;;;;
"=""NDE""";"=""CE""";"=""CASA DA CONSTRUÇÃO 01 - M.a. Frota & Cia Ltda""";"=""MPC Diversos Outros""";"=""17/09/2024""";"=""92140219 ¹  92140217 ²  """;"=""16/09/2024""";"-2";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""200153 - TUBO PVC RIG. SOLD. 75MM""";"=""TUBO PVC SOLDAVEL 75MM - 01 VARA DE 6M TIGRE""";"=""Almox Central""";"6";"43,35";"0";"0";"0";"0";"260,1";"0";"0";"6";;;;;;;
"=""NDE""";"=""CE""";"=""CBS PARAFUSOS - C B S Parafusos Import Ltda Me""";"=""MM Construção Civil""";"=""16/09/2024""";"=""92126302 ¹  92126301 ²  """;"=""16/09/2024""";"-3";"=""C p Consumo""";"=""Cemag""";"=""Matriz""";"=""599569 - ABRACADEIRA S/ FIM 09MM 1/2"""" A 5/8""""""";"=""1/2 X 5/8 - 9MM""";"=""CC Manutenção""";"100";"1,4078";"0";"0";"0";"0";"140,78";"0";"0";"100";;;;;;;
"=""NDE""";"=""CE""";"=""CEQUÍMICA - CEQUÍMICA LTDA""";"=""MUC Limpeza""";"=""11/09/2024""";"=""91617642 ¹  91617641 ²  """;"=""26/08/2024""";"-8";"=""C p Consumo""";"=""Cemag""";"=""Matriz""";"=""760003 - ÁCIDO CLORIDRICO 37% PA""";"=""ÁCIDO CLORÍDRICO 1N""";"=""Almox Central""";"7";"14,5";"0";"0";"0";"0";"101,5";"0";"0";"7";;;;;;;
"=""NDE""";"=""CE""";"=""DINALI - NOVO - Lairton Alves do Nascimento 47215844315""";"=""MUC Expediente""";"=""06/09/2024""";"=""91877967 ¹  91877966 ²  """;"=""06/09/2024""";"-13";"=""C p Consumo""";"=""Cemag""";"=""Matriz""";"=""700215 - DISPENSER POUPA COPO P/ AGUA""";;"=""Almox Central""";"5";"54,5";"0";"0";"0";"0";"272,5";"0";"0";"5";;;;;;;
"=""NDE""";"=""CE""";"=""DRAGÃO 3 - COMERCIAL DRAGAO LTDA""";"=""MPC Parafusos Allem""";"=""16/09/2024""";"=""92126309 ¹  92126308 ²  """;"=""16/09/2024""";"-3";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""257698 - PARAF ALLEN 1/4 X 3"""" C/C UNC""";;"=""Almox Central""";"187";"1,8069";"0";"0";"0";"0";"337,89";"0";"0";"187";;;;;;;
"=""NDE""";"=""CE""";"=""DRAGAO ANT. POMPEU - Comercial Dragao Ltda.""";"=""MPC Componentes sem Movimentação""";"=""13/09/2024""";"=""92126100 ¹  92126095 ²  """;"=""12/09/2024""";"-6";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""282158 - REBITE DE ALUMINIO 3,2 x 15MM""";;"=""Almox Central""";"1000";"0,0752";"0";"0";"0";"0";"75,2";"0";"0";"1000";;;;;;;
"=""NDE""";"=""CE""";"=""DRAGAO ANT. POMPEU - Comercial Dragao Ltda.""";"=""MPC PA Arruelas Diversas""";"=""13/09/2024""";"=""92126096 ¹  92126095 ²  """;"=""12/09/2024""";"-6";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""212097 - ARRUELA LISA 5/8"""" GALV # 1/8""""""";;"=""Almox Central""";"20";"0,687";"0";"0";"0";"0";"13,74";"0";"0";"20";;;;;;;
"=""NDE""";"=""CE""";"=""DRAGAO ANT. POMPEU - Comercial Dragao Ltda.""";"=""MPC PA Arruelas Diversas""";"=""13/09/2024""";"=""92126097 ¹  92126095 ²  """;"=""12/09/2024""";"-6";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""212260 - ARR. DE PRES. MÉDIA INOX 3/8""""""";;"=""Almox Central""";"400";"0,3144";"0";"0";"0";"0";"125,76";"0";"0";"400";;;;;;;
"=""NDE""";"=""CE""";"=""DRAGAO ANT. POMPEU - Comercial Dragao Ltda.""";"=""MPC PA Arruelas Diversas""";"=""13/09/2024""";"=""92126098 ¹  92126095 ²  """;"=""12/09/2024""";"-6";"=""C p Industrializ""";"=""Cemag""";"=""Matriz""";"=""212039 - ARRUELA LISA INOX  DE 1/8""""""";;"=""Almox Central""";"340";"0,0879";"0";"0";"0";"0";"29,89";"0";"0";"340";;;;;;;
