processo,conjunto,codigo,descricao,materia_prima,comprimento,largura,quantidade,etapa_seguinte,carreta,qt_conjunto,codigo_pintura,descricao_pintura,conjunto_desc
Chassi,030637,023516,ENGATE VARÃO DE TRAVA    CBHM 2 EIXOS,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",110.0,12.7,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,412302,"ARRUELA LISA 1/2""",120545 - BOBINA CHAPA LQ 3.00 X 1500 A36/CIVIL300,,,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,409728,TRANSV TRASEIRA    CBHM,134055NAC - TUBO QUADRADO 120 X 120 X 8.00,535.0,,1.0,Sem Processo,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,030348,REFORÇO DA LONGARINA M17 CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",1600.0,191.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,030589,PROTEÇÃO DO MACACO- CHASSI  CBH/CBHM M17,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",181.0,50.0,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,460783,TRAVA FEIXE DE MOLAS  - CHASSI CS   CBH,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",70.0,60.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,453407,SUP FEIXE MOLA DIAN-CHASSI  U4P2,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",,,4.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,411218,APOIO MOLA - CHASSI            CAR,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",,,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,409686,TRANSV  INTERMEDIARIA   CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",536.0,220.0,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,465422,FECHAM TRAS LONG   CHASSI  CBHM,"120278 - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",,,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,030317,LONGARINA M17 CHASSI CBHM/CBH,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2695.0,346.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,030318,TRANSVERSINA DIANTEIRA M17 CHASSI CBHM/CBH,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",298.0,241.0,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,460758,APOIO SUP FEIXE DE MOLAS     CBH,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",200.0,100.0,4.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,425760,SUPORTE DO CILINDRO       CBHM,"120352 - CHAPA GQ   1/2 (12,7)     1010",87.0,80.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,409753,SUPORTE TRASEIRO   CBHM,"120650 - CHAPA GQ   5/16(7,94)     1010",,,4.0,Sem Processo,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,460760,DISTANCIADOR DIANTEIRO F MOLAS   CBH,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",230.0,30.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,460771,DISTANCIADOR TRASEIRO  F MOLAS   CBH,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",230.0,22.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Chassi,030637,030316,REFORÇO DO SUPORTE DIANT M17 CHASSI CBHM/CBH,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",170.0,150.0,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Intermed.,023590,490313,REFORÇO TRAVA T TRAS -  ACESS  CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",295.0,30.0,1.0,S Estamparia,"CBH3,5 UG CS RS M21",2,Excluir,,Trava CBH/CBHM
Intermed.,023528,023504,CHAPA DE REGULAGEM VARÃO DE TRAVA   CBHM 2 EIXOS,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",,,1.0,Sem Processo,"CBH3,5 UG CS RS M21",2,,,REGULADOR DO VARÃO
Plataforma,032470,425795,APOIO BUCHA GUIA    CBHM,"120157 - CHAPA GQ   3/8 (9,53)     1010",55.0,30.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"Chassi da CBH5,0 M21"
Plataforma,032470,425734,TRANSV SUP CILINDRO    PLAT  CBHM,134055NAC - TUBO QUADRADO 120 X 120 X 8.00,540.0,,1.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"Chassi da CBH5,0 M21"
Macaco,030383,494884,PINO  MACACO     CBH/CBHM,"112525 - ACO TREF. RED. SAE-1020 - 5/8""",100.0,,1.0,S C Prensas,"CBH3,5 UG CS RS M21",1,,,Macaco Compl. CBHM 5000/FA
Intermed.,023620,023516,ENGATE VARÃO DE TRAVA    CBHM 2 EIXOS,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",110.0,12.7,1.0,S Estamparia,"CBH3,5 UG CS RS M21",2,,,VARÃO MÉDIO (5000)
Intermed.,023620,023632,TUBO DO TIRANTE DA TRAVA   (M12) CBH,134375 - TUBO     1/2       DIN 2440,425.0,21.2,1.0,S Mont Sistemas Carretas,"CBH3,5 UG CS RS M21",2,,,VARÃO MÉDIO (5000)
Plataforma,032470,425783,BUCHA GUIA    CBHM,134132 - TUBO MECANICO  32 X  20  ST-52,55.0,32.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"Chassi da CBH5,0 M21"
Plataforma,032470,030338,MANCAL - PLATAFORMA M17 (4T) CBH/CBHM,134212 - TUBO MECANICO  56 X  40  ST-52,57.0,,2.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,"Chassi da CBH5,0 M21"
Plataforma,032470,425187,REFORÇO CENTRAL    CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",705.0,235.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"Chassi da CBH5,0 M21"
Plataforma,032470,030334,LONGARINA DA PLATAFORMA M17    CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",2996.0,288.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"Chassi da CBH5,0 M21"
Plataforma,032470,030645,REFORÇO TRANSV DIANTEIRA - PLATAFORMA CBHM M17,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",647.0,190.0,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"Chassi da CBH5,0 M21"
Plataforma,032470,425760,SUPORTE DO CILINDRO       CBHM,"120352 - CHAPA GQ   1/2 (12,7)     1010",87.0,80.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"Chassi da CBH5,0 M21"
Chassi,030637,492073,DIAFRAGMA FEIXE MOLA-5ROD U4,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",50.0,40.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,030638,,CHASSI 5000 COM MOLA
Plataforma,032470,030336,APOIO ARTICULAÇÃO - PLATAFORMA M17 (4T) CBH/CBHM,"120650 - CHAPA GQ   5/16(7,94)     1010",1040.0,154.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"Chassi da CBH5,0 M21"
Plataforma,032470,425801,GUIA DA PLATAFORMA    CBHM,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",,,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"Chassi da CBH5,0 M21"
Macaco,030383,030326,TUBO FIXO MACACO - MACACO EXTERNO - CBHM/CBH 4T,"134144 - TUBO SCHEDULLE 80 - 2"" C/C",57.0,,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,Macaco Compl. CBHM 5000/FA
Macaco,030383,030386,TRAVA MACACO - MACACO EXTERNO - CBHM/CBH 4T,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",90.0,90.0,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,Macaco Compl. CBHM 5000/FA
Intermed.,023590,026416,CORPO DA TRAVA CBH/CBHM 4/6,"120352 - CHAPA GQ   1/2 (12,7)     1010",,,1.0,S Mont Sistemas Carretas,"CBH3,5 UG CS RS M21",2,Excluir,,Trava CBH/CBHM
Macaco,030383,030789,CORRENTE 180MM - MACACO M17,226105 - CORRENTE ELO 3/16 F. POLIDO,180.0,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Macaco Compl. CBHM 5000/FA
Intermed.,030671,034790,"TERMINAL MACHO JIC 3/4"" [TUBOS HIDRÁULICOS - CBH/CBHM]","112434 - ACO TREF. RED. SAE-1020 - 3/4""",,,2.0,S Usinagem,"CBH3,5 UG CS RS M21",2,,,TUBO HIDRÁULICO 5000
Intermed.,030671,034790,"TERMINAL MACHO JIC 3/4"" [TUBOS HIDRÁULICOS - CBH/CBHM]","112434 - ACO TREF. RED. SAE-1020 - 3/4""",,,2.0,S Usinagem,"CBH3,5 UG CS RS M21",2,,,TUBO HIDRÁULICO 5000
Intermed.,030671,030653,CORPO TUBO HIDRÁULICO - ACESS   CBHM M17,"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS",2500.0,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",2,,,TUBO HIDRÁULICO 5000
Intermed.,030671,030653,CORPO TUBO HIDRÁULICO - ACESS   CBHM M17,"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS",2500.0,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",2,,,TUBO HIDRÁULICO 5000
Intermed.,031511,464880,BUCHA EMBOLO - CHASSI CBHM/ICAM FA,"134144 - TUBO SCHEDULLE 80 - 2"" C/C",103.0,60.3,1.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,Cabeçao S/F
Intermed.,031511,030327,TUBO FIXO MACACO M17 CHASSI CBHM/CBH,134157 - TUBO MECANICO  50 X  32  ST-52,54.0,,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,Cabeçao S/F
Intermed.,031511,030381,FIXADOR MACACO M17 CHASSI CBHM/CBH,"120157 - CHAPA GQ   3/8 (9,53)     1010",100.0,135.0,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,Cabeçao S/F
Intermed.,031511,409820,PRENDEDOR DO TUBO [CBH/CBHM],"120278 - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",,,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Cabeçao S/F
Intermed.,031511,032352,SUPORTE FRONTAL [CHASSI COMPLETO - CBH],"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",1146.0,674.0,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Cabeçao S/F
Intermed.,031511,459690,FECHAM DIANTEIRO ICAM (M98) FA/CBHM,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",274.0,158.0,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Cabeçao S/F
Intermed.,031511,441480,SUPORTE ENGATE ICAM (M98) FA/CBHM,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",158.0,122.0,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Cabeçao S/F
Intermed.,031511,032353,COMPLEMENTO DO SUPORTE FRONTAL [CHASSI COMPLETO - CBH],"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Cabeçao S/F
Intermed.,031511,033889,REFORÇO INTERIOR [CONJ SUP FRONTAL - CBH],"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",,,1.0,S Mont Sistemas Carretas,"CBH3,5 UG CS RS M21",1,,,Cabeçao S/F
Traseira,032366,031225,DOBRADIÇA SUP. TAMPA TRAS. ABERT. LATERAL - CBH M18,"120054 - CHAPA GQ   5/8 (15,8)     1010",145.0,103.0,2.0,S Mont Sistemas Carretas,"CBH3,5 UG CS RS M21",1,,,Traseira CBH U.G
Traseira,032366,031227,CANTONEIRA INFERIOR TAMPA TRAS - CBH M18,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",1932.0,113.0,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Traseira CBH U.G
Traseira,032366,032367,CHAPEAMENTO [TAMPA TRASEIRA - CBH UG M21],120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Traseira CBH U.G
Traseira,032366,032368,"FECHAMENTO LATERAL [TAMPA TRASEIRA - CBH ""USO GERAL"" M21]","120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",,,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Traseira CBH U.G
Intermed.,033331,032745,ALÇA - [TRAVA DE BASCULAMENTO FA4FB],"112458 - ACO TREF. RED. SAE-1020 - 3/8""",,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,PINO DE ENGATE
Intermed.,033331,445885,PINO ENG ICAM (M98)   CARR,"112150 - ACO TREF. RED. SAE-1045 - 1""",227.0,25.4,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,PINO DE ENGATE
Eixo,460722,405980,PONTA EIXO      FA4/CBHM,110012 - ACO LAMINADO RED 2.1/2    1045,360.0,63.5,2.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,Eixo Completo CS (5000) CBHM
Eixo,460722,025547,CORPO DO EIXO CBH/CBHM5000...10000 (NOV13...),134017NAC - TUBO RETANGULAR 150 X 100 X 6.35 X 6000,1498.0,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Eixo Completo CS (5000) CBHM
Eixo,460722,025655,SAPATA DO EIXO C/MOLA CBH/CBHM (NOV13...),"120157 - CHAPA GQ   3/8 (9,53)     1010",180.0,100.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Eixo Completo CS (5000) CBHM
Eixo,460722,032402,"FECHAMENTO _ EIXO DIANTEIRO-TRASEIRO-BALANCIM _ FA-FTC-CBH-CBHM 4,0T-6,0T","120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",235.0,96.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Eixo Completo CS (5000) CBHM
Eixo,460722,455600,TAMPA CUBO - RODAGEM   F6/FA/CBHM,"120121 - CHAPA FF #18   (1,21)     1010",128.0,128.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,Eixo Completo CS (5000) CBHM
Caçamba,032360,032904,OLHAL DE ELEVACÃO - TANQUE SIMPLES    FTC,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",200.0,,6.0,S Mont Sistemas Carretas,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,425874,PINO DA TRAVA         CBHM,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",135.0,19.05,2.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,494665,PINO FUEIRO       CBHM,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",40.0,19.05,2.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,425795,APOIO BUCHA GUIA    CBHM,"120157 - CHAPA GQ   3/8 (9,53)     1010",55.0,30.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,425734,TRANSV SUP CILINDRO    PLAT  CBHM,134055NAC - TUBO QUADRADO 120 X 120 X 8.00,540.0,,1.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,425783,BUCHA GUIA    CBHM,134132 - TUBO MECANICO  32 X  20  ST-52,55.0,32.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,030338,MANCAL - PLATAFORMA M17 (4T) CBH/CBHM,134212 - TUBO MECANICO  56 X  40  ST-52,57.0,,2.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,034697,REFORÇO INFERIOR 2 [CAÇAMBA - CBH],"120136 - BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,034698,REFORÇO INFERIOR 1 [CAÇAMBA - CBH],"120136 - BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",,,3.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,425187,REFORÇO CENTRAL    CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",705.0,235.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,012919,REFORCO EXTERNO          CACAMBA    CBHF,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",,,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,030366,TRANSVERSINA INFERIOR MAIOR [CAÇAMBA - CBH M17],"120250 - CHAPA #11(3,04) A36/CIVIL300",1397.0,188.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,030373,TRANSVERSINA INTERMEDIÁRIA CENTRAL [CAÇAMBA - CBH M17],"120250 - CHAPA #11(3,04) A36/CIVIL300",418.0,187.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,031203,REFORÇO INTERNO DIANTEIRO - CAÇAMBA M18,"120250 - CHAPA #11(3,04) A36/CIVIL300",222.0,195.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,030380,REFORÇO INTERNO TRASEIRO - CAÇAMBA SIMPLES GRAN/FORR (M17) CBH,"120250 - CHAPA #11(3,04) A36/CIVIL300",215.0,161.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,030334,LONGARINA DA PLATAFORMA M17    CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",2996.0,288.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,031204,REFORÇO LATERAL DIANTEIRO - CAÇAMBA M18,"120273 - CHAPA FQ  3,75mm. SAE-1006",1563.0,236.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,032439,FECHAMENTO LATERAL TRASEIRO [CAÇAMBA SIMPLES - CBH M21],"120273 - CHAPA FQ  3,75mm. SAE-1006",934.0,372.55,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,032440,COMPLEMENTO DO FECHAM. LAT. TRAS. [CAÇAMBA SIMPLES - CBH M21],"120273 - CHAPA FQ  3,75mm. SAE-1006",861.27,270.0,2.0,S Mont Sistemas Carretas,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,031207,FECHAMENTO FUEIRO REFORÇO DIANTEIRO - CAÇAMBA M18,"120273 - CHAPA FQ  3,75mm. SAE-1006",382.0,134.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,032317,COMPL FECHAMENTO FUEIRO REFORÇO DIANTEIRO - CAÇAMBA M18,"120273 - CHAPA FQ  3,75mm. SAE-1006",100.0,92.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,030591,FECHAM TRAS CENTRAL - CAÇAMBA SIMPLES GRAN/FORR (M17) CBH ABERTURA LATERAL,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",1400.0,397.0,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,030645,REFORÇO TRANSV DIANTEIRA - PLATAFORMA CBHM M17,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",647.0,190.0,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,030368,FECHAM DA TRANSVERSINA - CAÇAMBA SIMPLES GRAN/FORR (M17),"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",174.0,100.0,6.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,480009,ANILHO MOLA POCIS       CBH/CBHM,"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",,,2.0,S C Guilhotina,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,030384,CHAPEAM LAT - CAÇAMBA SIMPLES GRAN/FORR (M17) CBH,"120306 - CHAPA FQ #12 (1,50 x 3,00m) 1010",,,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,425760,SUPORTE DO CILINDRO       CBHM,"120352 - CHAPA GQ   1/2 (12,7)     1010",87.0,80.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,026416,CORPO DA TRAVA CBH/CBHM 4/6,"120352 - CHAPA GQ   1/2 (12,7)     1010",,,2.0,S Mont Sistemas Carretas,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,031206,CHAPEAMENTO FRONTAL - CAÇAMBA M18,"120548 - CHAPA FQ #12 (1,50 x 4,00m) 1010",,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,030336,APOIO ARTICULAÇÃO - PLATAFORMA M17 (4T) CBH/CBHM,"120650 - CHAPA GQ   5/16(7,94)     1010",1040.0,154.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,490313,REFORÇO TRAVA T TRAS -  ACESS  CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",295.0,30.0,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,425801,GUIA DA PLATAFORMA    CBHM,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",,,2.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Caçamba,032360,022263,COMPLEM. TRANSV. INTERM. CENTRAL - CAÇAMBA GRAN/FORR (M12) CBH,"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Cilindro,034550,034946,BUCHA DO PISTÃO [PISTÃO DO CILINDRO - CBH/CBHM],110012 - ACO LAMINADO RED 2.1/2    1045,60.0,,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
