"=""Recurso""";"=""Unid.""";"=""Média""";"=""CMA""";"=""Simulado""";"=""Qtd.Est.""";"=""Ped.Pend.""";"=""Saldo""";"=""Cust.Unit.""";"=""TRP""";"=""DEE"""
"=""112826 - ACO TREFILADO SEXT TREF 1.1/2""""  1045""";"=""KG""";"0";"0";"1";"0";"0";"-1";"40";;"0"
"=""199776 - BARRA CHATA ACO 4 X 2""""""";"=""KG""";"0";"0";"1";"0,001";"0";"-0,999";"129,37";;"0"
"=""200020 - CAPA DE PRENSAGEM 5/8"""" AÇO""";"=""Un""";"0";"0";"1";"0";"0";"-1";"8,13";;"0"
"=""213408 - CAIXA DE PASSAGEM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"27,65";;"0"
"=""240695 - TERM FEMEA JIC 5/8"""" X 7/8""""""";"=""Un""";"0";"0";"1";"0";"0";"-1";"10,04";;"0"
"=""300045 - COLA FORMICA""";"=""Un""";"0";"0";"1";"0";"0";"-1";"25,88";;"0"
"=""300071 - ENDURECEDOR P/ EPOXI SH WILLIAMS COMP B""";"=""L""";"0";"0";"1";"0,9";"0";"-0,1";"38,78";;"0"
"=""313109 - GRAXA ESPECIAL SINTAPLEX HS 2""";"=""KG""";"0";"0";"1";"0";"0";"-1";"370";;"0"
"=""313211 - FITA CREPE 36x50 P/PINTURA""";"=""Un""";"0";"0";"1";"0";"0";"-1";"13,3333";;"0"
"=""313234 - CATALIZ. P/ RESINA 0,60ML""";"=""Un""";"0";"0";"1";"0";"0";"-1";"2,8";;"0"
"=""316453 - PREGO DE    2 X12        C/CAB""";"=""KG""";"3,33333333333333";"0";"1";"0";"0";"-1";"20,22";;"0"
"=""326525 - SELADOR P/ MADEIRA - TINGIDO""";"=""L""";"0";"0";"1";"0";"0";"-1";"2";;"0"
"=""350073 - OLEO HIDRAULICO 68""";"=""L""";"0";"0";"1";"0";"0";"-1";"16,5929";;"0"
"=""350075 - ADITIVO DE RADIADOR CONCENTRADO SAE J1034""";"=""L""";"0";"0";"1";"0";"0";"-1";"12,82";;"0"
"=""500046 - FILTRO DE ÓLEO REF. 61199696""";"=""Un""";"0";"0";"1";"0";"0";"-1";"690,16";;"0"
"=""500114 - PARAF. ALLEN CC 12X50MA""";"=""Un""";"0";"0";"1";"0";"0";"-1";"3,86";;"0"
"=""500361 - VALVULA ESFERA 1/2"""" P/ GÁS""";"=""Un""";"0";"0";"1";"0";"0";"-1";"32,25";;"0"
"=""500847 - PARAF. ALLEN C.CAB M8 X 60MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"1,0025";;"0"
"=""500871 - JOGO DE ESCOVAS 220V F000611090""";"=""Un""";"0";"0";"1";"0";"0";"-1";"36,25";;"0"
"=""501061 - ROLAMENTO 6001 12x12x8MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"5,7";;"0"
"=""501065 - ROLAMENTO 6201 2Z 12X32X10MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"14,77";;"0"
"=""501147 - ROLAMENTO 6309 Z 1ªL""";"=""Un""";"0";"0";"1";"0";"0";"-1";"146";;"0"
"=""501148 - ROLAMENTO 6209 Z 1ªL""";"=""Un""";"0";"0";"1";"0";"0";"-1";"89";;"0"
"=""501226 - PISTOLA BICO AR P/ LIMPEZA""";"=""Un""";"0";"0";"1";"0";"0";"-1";"38";;"0"
"=""501258 - BICO VENTURI S/CAPA COND. BOMBA PÓ PI-P1 0241225 WAGNER CÓD. 15.967-3""";"=""Un""";"2,66666666666667";"0";"1";"0";"0";"-1";"46,74";;"0"
"=""501269 - ROLAMENTO 6000 ZZ""";"=""Un""";"0";"0";"1";"0";"0";"-1";"13,2";;"0"
"=""501275 - VALVULA ESFERA 3/4"""" P/ GÁS""";"=""Un""";"0";"0";"1";"0";"0";"-1";"30,7";;"0"
"=""501362 - EURO CONECTOR SMW 187/187M/257 0906520/741342""";"=""Un""";"0";"0";"1";"0";"0";"-1";"270,46";;"0"
"=""501390 - CONJ. PEÇAS P/ TOCHA DE SOLDA""";"=""Un""";"0,333333333333333";"0";"1";"0";"0";"-1";"1240,76";;"0"
