"=""1o. Agrupamento""";"=""2o. Agrupamento""";"=""3o. Agrupamento""";"="" """;"=""Estabelecimento""";"=""Recurso#Unid. Medida""";"=""Recurso#Fornecedor Principal""";"=""Marca""";"=""Lote""";"=""Validade lote""";"=""Und Movimentação""";"=""Qde p Vol Compra""";"=""Volume Compra""";"=""Saldo""";"=""Custo#Total""";"=""Custo#Médio"""
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Manutenção.MM Elétrica.MM Elétrica Diversos""";"=""533572 - PILHA ALCALINA AA (Un)""";;"=""Cemag""";"=""Un""";;;;;;"0";"0";"10";"49,422075";"4,9422075"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Manutenção.MM Elétrica.MM Elétrica Diversos""";"=""533701 - FITA TEFLON 3/4 x 50 Mts (Un)""";;"=""Cemag""";"=""Un""";;;;;;"0";"0";"10";"30";"3"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Manutenção.MM Elétrica.MM Elétrica Diversos""";"=""533786 - FITA ISOLANTE 19MM X 20M PRET (Un)""";;"=""Cemag""";"=""Un""";;;;;;"0";"0";"11";"136,037895";"12,3670813636364"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Manutenção.MM Elétrica.MM Elétrica Diversos""";"=""534299 - PILHA ALCALINA AAA PALITO (Un)""";;"=""Cemag""";"=""Un""";;;;;;"0";"0";"20";"74";"3,7"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Manutenção.MM Mecânica.MM Mecânica Diversos""";"=""504407 - FITA ADESIVA DUPLA FACE 3M 12mm x 20m (Un)""";;"=""Cemag""";"=""Un""";;;;;;"0";"0";"3";"135";"45"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Manutenção.MM Mecânica.MM Mecânica Diversos""";"=""504620 - SPRAY TINTA (Un)""";;"=""Cemag""";"=""Un""";;;;;;"0";"0";"104";"1772,756689";"17,0457373942308"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Manutenção.MM Mecânica.MM Mecânica Diversos""";"=""504749 - AGUA DEIONIZADA/AUTOCLAVE (L)""";;"=""Cemag""";"=""L""";;;;;;"0";"0";"410";"1158,947153";"2,82670037317073"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Manutenção.MM Mecânica.MM Mecânica Diversos""";"=""507124 - OLEO DESENGRIPANTE SPRAY (M1/ WD-40) 500ML (Un)""";;"=""Cemag""";"=""Un""";;;;;;"0";"0";"19";"701,394286";"36,9154887368421"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Manutenção.MM Mecânica.MM Mecânica Diversos""";"=""509001 - BROCA DE WIDIA 9/16"""" 14MM (Un)""";;"=""Cemag""";"=""Un""";;;;;;"0";"0";"1";"1447,5";"1447,5"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Manutenção.MM Mecânica.MM Mecânica Diversos""";"=""509526 - OLEO P/ TRATOR AMBRA MULTI 10W30 (L)""";;"=""Cemag""";"=""L""";;;;;;"0";"0";"100";"2454,176009";"24,54176009"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Uso e Consumo.MUC Custo Industrial""";"=""300022 - LIQUIDO REFRIGERANTE PLASMA HYPERTHERM (HYP028872) (L)""";;"=""Cemag""";"=""L""";;;;;;"0";"0";"168,52";"7369,82583";"43,7326479349632"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Uso e Consumo.MUC Custo Industrial""";"=""318169 - BONDERITE C-AK L 95 (desengraxante) (KG)""";;"=""Cemag""";"=""KG""";;;;;;"0";"0";"845";"21406,922197554";"25,3336357367503"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Uso e Consumo.MUC Custo Industrial""";"=""318170 - BONDERITE C-AD B 725 (aditivo) (KG)""";;"=""Cemag""";"=""KG""";;;;;;"0";"0";"100";"3538,8836732507";"35,388836732507"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Uso e Consumo.MUC Custo Industrial""";"=""318172 - BONDERITE M-AD 700 (auxiliar) (KG)""";;"=""Cemag""";"=""KG""";;;;;;"0";"0";"400";"8174,83354646192";"20,4370838661548"
"=""Almox Central""";"=""Recursos.Materiais e Produtos.Mat de Uso e Consumo.MUC Custo Industrial""";"=""318173 - BONDERITE M-FE F212 BO (fosfatizante) (KG)""";;"=""Cemag""";"=""KG""";;;;;;"0";"0";"140";"2842,568885";"20,3040634642857"
